Khushi		খুশী
Krishna		কৃষ্ণা
Krisha		ক্রিষা
Kanika		কনিকা
Kajal		কাজল
Kamini		কামিনী
Kaamini		কামিনী
Kashni		কশ্নী
Kamna		কামনা
Kamana		কামনা
Kapila		কপিলা
Kushali		কুশালী
Krutika		কৃতিকা
Krithika	কৃতিকা
Kruthika	কৃতিকা
Karuna		করূণা
Kokila		কোকিলা
Kusum		কুসুম
Karabi		করবী
Kaushali	কৌশালী
Kavitha		কবিতা
Kshanika	ক্ষণিকা
Kamala		কমলা
Kamali		কমলী
Khanika		খনিকা
Kakali		কাকলী
Kumkum		কুমকুম
Kausani		কৌসানী
Kolpona		কল্পনা
Kalpona		কল্পনা
Kaneshka		কনিষ্কা
Kaushalya		কৌসল্যা
Kiranmayi		কিরণময়ী
Krishnaveni		কৃষ্ণবেণী
KanakaPriya		কনকপ্রিয়া
Kanaklata		কনকলতা
Kanakalatha		কনকলতা
Kusumlata		কুসূমলতা
Kusumitha		কুসুমীতা
