Pari		পরী
Piku		পীকু
Puja		পূজা
Pooja		পূজা
Prapti		প্রাপ্তি
Priya		প্রিয়া
Preya		প্রিয়া
Paroo		পারূ
Purna		পূর্ণা
Parni		পর্ণী
Prema		প্রেমা
Preeti		প্রীতি
Preethi		প্রীতি
Preety		প্রীতি
Panna		পান্না
Pushpa		পুষ্পা
Prova		প্রভা
Prabha		প্রভা
Poorti		পুর্তি
Punyaa		পুন্যা
Prakhya		প্রাখ্যা
Purnima		পূর্ণিমা
Poornima	পূর্ণিমা
Pranali		প্রনালী
Pramiti		প্রমিতি
Pratima		প্রতিমা
Pranhita	প্রণীতা
Praneetha	প্রণীতা
Pranita		প্রনিতা
Pranitha	প্রনিতা
Pranika		প্রনীকা
Poorika		পূরিকা
Prerna		প্রেরণা
Pritika		প্রিতিকা
Prithika	প্রিতিকা
Prameela	প্রমিলা
Prantika	প্রান্তিকা
Promita		প্রমিতা
Pramita		প্রমিতা
Puneeta		পুনিতা
Piyali		পিয়ালী
Parama		পরমা
Paramaa		পরমা
Parnika		পর্ণিকা
Parnita		পর্নিতা
Parnitha	পর্নিতা
Pinky		পিংকি
Parisa		পরিসা
Parul		পারূল
Paravi		পরবী
Parvi		পরবী
Punam		পূনম
Poonam		পূনম
Pallavi		পল্লবী
Pallabi		পল্লাবী
Poomitha	পূমিতা
Poorbi		পূরবী
Pranati		প্রনতি
Pavithra	পবিত্রা
Paulomi		পৌলোমী
Poulomi		পৌলোমী
Parmita		পরমিতা
Poulomi		পৌলোমী
Parvati		পার্বতী
Parvathi	পার্বতী
Prakrithi	প্রক্রিতি
Pujitha		পূজিতা
Premila		প্রেমীলা
Promila 	প্রমীলা
Prithisha		প্রীতিশা
Paromita		প্রোমিতা
Prabharoopa		প্রভারূপা
Patralekha		পত্রলেখা
Prosmita		প্রোস্মিতা
Pritilata		প্রিতিলতা
Phalguni		ফাল্গুনী
Phaalguni		ফাল্গুনী
Priyamvada		প্রিয়ম্বদা
Pushpalata		পুষ্পলতা
Pushpalatha		পুষ্পলতা
Pushpavathi		পুষ্পবতী
Prajeetha		প্রজীতা
Prathama		প্রথমা
Pranithi		প্রণীতি
Pradeepa		প্রদিপা
Pushpita		পুষ্পিতা
Pushpitha		পুষ্পিতা
Prathysha		প্রতিশা
Pratibha		প্রতিভা
Prathibha		প্রতিভা
Prabhati		প্রভাতী
Padmakshi		পদ্মাক্ষী
Pratiksha		প্রতীক্ষা
Poojitha		পূজিতা
Priyanka		প্রিয়াংকা
Pariniti		পরিনীতি
Parineeta		পরিণীতা
Parinita		পরিণীতা
Parinitha		পরিণীতা
Prasunna		প্রসুন্না
Padmavathi		পদ্মাবতী
Padmarekha		পদ্মরেখা
Pallavini		পল্লবিনী
Punyapriya		পুন্যপ্রিয়া
Parajika		পারাজিকা
Pushpanjali		পুষ্পাঞ্জলি
Priyadarshani	প্রিয়দর্শিনী
Padmalochana	পদ্মলোচনা
