Balan		বালন
Bali		বালী
Bandish		বংদিশ
Baneet		বনীত
Bankim		বনকীম
Banshi		বংশী
Bansi		বংসী
Baran		বরন
Barun		বরুন
Bavin		বাবীন
Bejul		বেজুল
Bhadrak		ভদ্রক
Bhargav		ভার্গব
Bhaumik		ভৌমিক
Bhautik		ভৌতিক
Bhav		ভাব
Bhavadeep	ভবদীপ
Bhavan		ভবন
Bhavik		ভাবিক
Bhavish		ভবীশ
Bhavya		ভব্যা
Bhavyam		ভব্যম
Bhavyansh	ভবযংশ
Bhisham		ভীষম
Bhoopati	ভূপতি
Bhooshan	ভূষণ
Bhooshit	ভূষিত
Bhoumik		ভৌমিক
Bhrij		ভ্রীজ
Bhudhav		ভূধাব
Bhumik		ভূমিক
Bhumin		ভূমিন
Bhumit		ভূমিত
Bhupal		ভূপাল
Bhupati		ভূপতি
Bhushan		ভূষণ
Bhuvan		ভুবন
Bhuvanesh	ভুবনেশ
Bhuvik		ভুবিক
Bibek		বিবেক়
Bijal		বিজ়ল
Bijesh		বিজেশ
Bijoy		বিজৌয
Bimal		বিমল
Binoy		বিনোয
Biraj		বিরাজ
Biren		বিরেন
Bnidhish	বনিধীশ
Braj		ব্রজ
Brajesh		ব্রজেশ
Branesh		ব্রনেশ
Brij		ব্রিজ
Brijesh		ব্রিজেশ
