Aadita		আদিতা
Aahana		আহনা
Aara		আরা
Aarchi		অর্চী
Aarvi		আরবী
Aashta		আস্থা
Aashvi		আশ্বী
Aayaushi	আযুষী
Adhya		অধ্যা
Adhyay		অধ্যায
Adriti		অদ্রিতী
Advika		অদ্বিকা
Advita		অদ্বিতা
Ahana		অহানা
Aishi		ঐশী
Aishini		ঐশীনী
Aishna		ঐশ্না
Ajeeta		অজীতা
Akshika		অক্শীকা
Ami			অমী
Amisha		অমীষা
Amishi		অমিশী
Anavi		অনাবী
Anchal		আঁচল
Aneeta		অনীতা
Anisha		অনিশা
Anja		অনজা
Anjali		অংজলী
Ankita		অংকিতা
Anshi		অংশী
Anshula		অংশুলা
Ansika		অংশিকা
Anvee		অন্বী
Anvesha		অন্বেষা
Anvi		অন্বী
Anvika		অন্বিকা
Anvita		অন্বিতা
Anya		অন্যা
Apra		অপরা
Archi		অর্চী
Archita		অর্চিতা
Arina		অরীনা
Arna		অরনা
Arnaja		অর্নজা
Arni		অরনী
Arohi		আরোহী
Aroushi		অরোষী
Arpita		অর্পিতা
Arshika		আর্শিকা
Aruni		অরুনী
Arup		অরূপ
Arushi		অঋষি
Arya		আর্যা
Avni		অবনি
Abha		আভা
Aabha		আভা
Aadhya		আধ্যা
Adhya		অধ্য
Anika		অনিকা
Aditi		অদিতি
Anshika		অংশিকা
Ansika		অংশিকা
Aaradhya	আরাধ্যা
Aaraadhya	আরাধ্যা
Anvika		অন্বিকা
Asha		আশা
Ananya		অনন্যা
Anchal		আঁচল
Ajeeta		অজীতা
Akasha		অকশা
Akshar		অক্ষর
Akshara		অক্ষরা
Aapti		আপ্তি
Anusha		অনুষা
Aarti		আরতী
Aarini		আরিনী
Arpita		অর্পিতা
Anita		অনীতা
Anitha		অনীতা
Anvita		অন্বিতা
Ashmi		অশ্মী
Amrita		অমৃতা
Asmi		অস্মি
Adhyay		অধ্যায়
Ambika		অংবিকা
Adhiti		অদিতি
Aruna		অরুণা
Aarthi		আর্থী
Adriti		অদ্রিতী
Aru			অরু
Akrita		অক্রীতা
Archita		অর্চিতা
Avanti		অবংতী
Aakruti		আকুতি
Akriti		আকৃতি
Aakriti		আকৃতি
Apeksha		অপেক্ষা
Aishitha	ঐশিথা
Amla		অম্লা
Anvesha		অন্বেষা
Aaroti		আরতী
Abeena		অবিনা
Arthi		অর্থী
Aseema		অসীমা
Arabhi		অরভী
Amithi		অমিতি
Aathmika	আত্মিকা
Anushka		অনুষ্কা
Apurva		অপুর্বা
Anayna		অন্যনা
Anamika		অনামিকা
Avanika		অবনিকা
Aalo		আলো
Aaria		আরিয়া
Archana		অর্চনা
Annapurna	অন্নপূর্ণা
Anwesha		অন্বেশা
Armita		অর্মিতা
Archini		অর্চিনী
Arkita		অর্কিতা
Anupreeti	অনুপ্রিতি
Anupriti	অনুপ্রিতি
Anulekha	অনুলেখা
Arpana		অর্পনা
Attika		অত্তিকা
Anulata		অনুলতা
Athira		অথীরা
Anupriya	অনুপ্রিয়া
Anumita		অনুমিতা
Anumitha		অনুমিতা
Agnishikha		অগ্নিশিখা
Aparijita		অপরিজিতা
Aparajitha		অপরাজিতা
Anurima		অনুরিমা
Anindini	অনিন্দিনী
Aabinta		আবিন্তা
Anurupa		অনুরূপা
