Charu		চারূ
Chithra		চিত্রা
Chithira	চিত্রা
Chaitra		চৈত্রা
Chaithra	চৈত্রা
Chaitali	চৈতালী
Chaitaly	চৈতালী
Charul		চারুল
Charula		চরুলা
Charulata	চরুলতা
Charulota	চরুলতা
Chaya		ছায়া
Chaaya		ছায়া
Chhaya		ছায়া
Chandni		চাঁদনী
Chetana		চেতনা
Chitra		চিত্রা
Chandani	চাঁদনী
Chobi		ছবি
Chumki		চুমকী
Chitrakshi		চিত্রাক্ষী
Chinmayi		চিন্ময়ী
Chandrabindoo	চন্দ্রবিন্দু
Chandrabindu	চন্দ্রবিন্দু
Chandralekha	চন্দ্রলেখা
Chandrakhi		চন্দ্রাক্ষী
chandrima		চন্দ্রিমা
Chandrapushpa	চন্দ্রপুষ্পা
Charulekha		চারুলেখা
Chitraleka		চিত্রলেখা
Chayanika		চয়নিকা
Chithramani		চিত্রামণি
Churamoni		চূড়ামণি
