Mou 		মৌ
Meena		মীনা
Mina		মীনা
Mithu		মিতু
Mita		মিতা
Mahi		মাহী
Maahi		মাহী
Medha		মেধা
Megha		মেঘা
Meera		মীরা
Mira		মীরা
Maya		মায়া
Mauli		মৌলী
Mili		মিলী
MiLi		মিলী
Misti		মিষ্টী
Mishti		মিষ্টী
Mishty		মিষ্টী
Mishtu		মিষ্টু
Mala		মালা
Mukthi		মুক্তি
Mukta		মুক্তা
Mithila		মিথিলা
Mallika		মল্লিকা
Meghna		মেঘনা
Meghana		মেঘনা
Manisha		মনীষা
Monisha		মনীষা
Madhavi		মাধবী
Mishita		মিশিতা
Mahima		মহিমা
Madhuri		মাধুরী
Manika		মনিকা
Mounika		মোনিকা
Mainali		মৈনালী
Monali		মোনালি
Mohini		মোহিনী
Maulika		মৌলিকা
Moumita		মৌমিতা
Moushumi	মৌসুমি
Mayuri		মযূরী
Mitali		মিতালী
Mahira		মাহির
Mahiya		মাহিয়া
Mahitha		মহিতা
Mohana		মোহনা
Manasi		মানসী
Manshi		মানসী
Manushi		মানুষী
Mamata		মমতা
Mamatha		মমতা
Munmun		মুনমুন
Manorita		মনোরিতা
Manimala		মণিমালা
Moyurakkhi		ময়ূরাক্ষী
Mayurakkhi		ময়ূরাক্ষী
Mandakini		মন্দাকিনী
Mohanapriya		মোহনপ্রিয়া
Mrunmayee		মৃন্ময়ী
Monalisa		মোনালিসা
Mrinalini		মৃণালিনী
Madhushri		মধুশ্রী
Madhurya		মাধুর্য
Mridula			মৃদুলা
Mridhula		মৃদুলা
Madhurima		মধুরিমা
Madhuurima		মধুরিমা
MadhuPriya		মধুপ্রিয়া
Madhulata		মধুলতা
Madhulatha		মধুলতা
Madhumita		মধুমিতা
Madhumati		মধুমতি
Madhurani		মধুরানী
Madhulekha		মধুলেখা
Madhuchhanda	মধুছন্দা
Modhumaloti		মধুমালতী
Madhumalathi	মধুমালতী
