Takshvi		তাক্ষ্বী
Tania		তান্যা
Tanika		তানিকা
Tanishi		তনীশী
Tanishk		তনিষ্ক
Tanisi		তনিসী
Taniska		তনিষ্কা
Tanmayee	তন্মযী
Tanu		তনু
Tanuja		তনুজা
Tanushri	তনুশ্রী
Tanvee		তন্বী
Tanvi		তন্বী
Tanya		তান্যা
Tapani		তপনী
Tapasi		তাপসী
Tapati		তপতী
Tapi		তাপী
Tapni		তপনী
Tarini		তরীনী
Tarjni		তর্জনী
Tarlika		তর্লিকা
Taruna		তরুনা
Taruni		তরুণী
Tarushi		তরুশী
Tashvi		তাশ্বী
Tatini		তাতিনী
Taveshi		তবেশী
Tavisha		তবিশা
Tavishi		তবিষী
Tejal		তেজ়ল
Tejasvi		তেজস্বী
Tejaswini	তেজস্বিনী
Tejini		তেজীনী
Tilika		তিলিকা
Timsy		টিম্সী
Trisha		ত্রিষা
Trishala	ত্রিশালা
Trishalana	ত্রিষলানা
Trishika	ত্রীশীকা
Trishna		ত্রিষ্ণা
Trupti		তৃপ্তি
Tulasi		তুলসী
Tuli		তুলী
Tulika		তুলিকা
Tulip		তুলীপ
Tulsi		তুলসী
Turvi		তুর্বী
Tushita		তুশিতা
Tusi		তুসী
Tusti		তুস্তী
Twisha		ত্বিশা
