Ucchal		উচ্চল
Udaya		উদযা
Udayashree	উদযাশ্রী
Udipti		উদিপ্তী
Udisha		উদীশা
Udita		উদীতা
Uditi		উদীতী
Udyati		উদযতি
Ujhala		উঝালা
Ujwani		উজবণী
Umangi		উমংগী
Umarani		উমরানী
Umika		উমিকা
Unjali		উন্জলী
Unnathi		উন্নতি
Unnati		উন্নতি
Upada		উপদা
Upala		উপালা
Upama		উপমা
Upasana		উপাসনা
Upma		উপমা
Ura		যূরা
Urishita	উর্শিতা
Urja		উর্জা
Urjita		উর্জীতা
Urmesha		উর্মেশা
Urmi		উর্মী
Urmika		উর্মিকা
Urmila		উর্মিলা
Urna		অর্না
Urshita		উর্শিতা
Ursula		উর্সুলা
Urva		উর্বা
Urvashee	উর্বশী
Urvashi		উর্বশী
Urvasi		উর্বসী
Urveen		ঊর্বিন
Urvi		উর্বী
Urvija		উর্বীজা
Urvisha		উর্বীশা
Usharvi		উষারবী
Ushashi		উষাশি
Ushasree	উষাশ্রী
Ushi		উশী
Ushika		উশীকা
Ushma		উষ্মা
Uthami		উথামী
Utpala		উত্পলা
Utpatti		উত্পত্তি
Utsa		উত্সা
Utsavi		উত্সবী
Utsuka		উত্সুক
Uttara		উত্তরা
