Vaani		বাণী
Vadhi		বধী
Vahini		বাহিনী
Vaibhavi	বৈববী
Vaidehi		বৈদেহী
Vaishavi	বৈষ্ণবী
Vaishu		বৈশুং
Vaishvi		বৈষ্বী
Vakula		বাকুলা
Valini		বালিনী
Valli		বল্লী
Vama		বামা
Vamil		বামিল
Vandita		বন্দিতা
Vaneet		বনীত
Vanhi		বংহী
Vani		বানী
Vanita		বনিতা
Vanshi		বংশী
Varda		বরদা
Vardani		বর্দানী
Vari		বারী
Varnisha	বর্নীশা
Varsheni	বর্ষেনী
Varshini	বার্শিনী
Varshiny	বার্শিনী
Vartika		বর্তিকা
Varuna		বরুনা
Varuni		বারুণী
Varusha		বরুষা
Varya		বার্যা
Vasana		বাসনা
Vasanti		বসংতী
Vasuta		বসুতা
Vatsala		বত্সলা
Vatsla		বত্সলা
Veda		বেদা
Vedangi		বেদাংগী
Vedanta		বেদাংত
Vedanti		বেদান্তী
Vedha		বেধা
Vedhika		বেধীকা
Vedi		বেদী
Veeksha		বীক্ষা
Vela		বেলা
Velli		বেল্লী
Venah		বেনাহ
Vency		বেন্সী
Vetali		বেতালী
Vetri		বেত্রী
Vibha		বিভা
Vibhi		বিভী
Vibhuti		বিভূতি
Vibusha		বিভূষা
Vidya		বিদ্যা
Vidyul		বিদ্যুল
Vihana		বিহনা
Vihangi		বিহংগী
Vihani		বিহানী
Vijeta		বিজেতা
Vikisha		বিকীশা
Vineela		বিনীলা
Vineeta		বিনীতা
Vini		বীনী
Vinita		বিনীতা
Viraaj		বিরাজ
Virahi		বিরহী
Viranshu	বিরাংশু
Viri		বীরী
Virta		বিরতা
Visha		বিশা
Vishalya	বিশাল্যা
Vishika		বিশিকা
Vishma		বিষ্মা
Vishranti	বিশ্রাংতি
Vishva		বিশ্বা
Vismaya		বিস্ময
Vismita		বিস্মিতা
Viti		বিতী
Viva		বিবা
Viveka		বিবেকা
Vivika		বিবিকা
Viviksha	বিবিক্ষা
Viya		বিযা
Viyona		বিযোনা
Viyoni		বীযোনী
Vriddhi		বৃদ্ধি
Vridhi		বৃদ্ধি
Vrinda		বৃংদা
Vrisha		বৃষা
Vrishali	বৃষালী
Vrishti		বৃষ্টি
Vruddhi		বৃদ্ধি
Vrund		বৃংদ
Vrunda		বৃংদা
Vrushali	বৃশালী
Vrushti		বৃষ্টি
Vrusti		বৃস্তী
Vruta		বৃতা
Vrutika		বৃতিকা
Vyoma		ব্যোমা
Vyomini		ব্যোমিনী
