Beena		বীণা
Banu		বানু
Baiza		বাইজা
Baha		বাহা
Bazla		বজলা
Bariah		বরিহা
Bibi		বিবি
Bobita		বোবিতা
Bushra		বুশরা
Basma		বসমা
Basila		বসিলা
Bahira		বাহীরা
Bayan		বায়ান
Bahiya		বাহীয়া
Bahij		বাহীজ
Banou		ভানু
Badia		বদিয়া
Badra		ভদ্রা
Basira		বশিরা
Badiha		বাদিয়া
Baria		বরিয়া
Bahija		বহীজা
Bahia		বহীয়া
Bareea		বারীয়া
Bakura		বাকূরা
Basili		বসিলী
Bahara		বাহারা
Basima		বসীমা
Bijli		বিজলী
Batina		বাতীনা
Bazala		বাজালা
Baraha		বারাহা
Baziriya	র্বাজরিয়া
bristy		বৃষ্টি
Binita		বিনীতা
Bipasha		বিপাশা
Baishali	বৈশালী
Briti		বৃতি
Barsha		বর্ষা
Boishakhi	বৈশাখী
